City,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (mph)
carnarvon,-24.8667,113.6333,24.22,76,0,8.94
hithadhoo,-0.6,73.0833,27.66,76,88,5.64
mahebourg,-20.4081,57.7,26.25,85,76,1.79
fairbanks,64.8378,-147.7164,-9.3,83,100,0.28
faanui,-16.4833,-151.75,27.24,72,13,6.48
anguillara sabazia,42.0875,12.2767,6.41,68,78,2.54
butaritari,3.0707,172.7902,27.18,78,13,11.49
guerrero negro,27.9769,-114.0611,16.25,47,94,2.02
khatanga,71.9667,102.5,-31.9,90,30,3.93
victoria,22.2855,114.1577,12.5,29,25,5.36
hermanus,-34.4187,19.2345,18.22,70,100,7.69
hilo,19.7297,-155.09,20.17,89,100,1.79
upernavik,72.7868,-56.1549,-18.66,92,100,1.27
punta arenas,-53.15,-70.9167,15.62,48,70,8.61
albany,42.6001,-73.9662,6.01,48,41,1.34
honiara,-9.4333,159.95,25.79,86,97,0.54
marawi,7.9986,124.2928,19.76,97,85,1.02
new norfolk,-42.7826,147.0587,13.1,65,48,1.01
nemuro,43.3236,145.575,-8.26,71,89,10.44
manoel urbano,-8.8389,-69.2597,28.9,71,88,2.27
sterling,39.0062,-77.4286,10.3,46,75,6.26
sisimiut,66.9395,-53.6735,-10.77,83,100,8.09
yenagoa,4.9247,6.2642,28.07,71,98,3.33
port alfred,-33.5906,26.891,20.1,91,39,1.79
yumen,40.2833,97.2,-8.84,36,3,5.19
mataura,-46.1927,168.8643,9.07,98,0,0.38
hobart,-42.8794,147.3294,14.81,82,38,2.57
lebu,-37.6167,-73.65,18.2,63,0,9.18
xiuyan,40.2928,123.2744,-8.44,58,2,0.98
solnechnyy,50.7214,136.6319,-31.04,96,33,1.72
kursavka,44.4564,42.5093,-0.63,92,100,4.17
buchanan,5.8808,-10.0467,28.16,69,62,4.61
kavaratti,10.5669,72.642,26.69,72,4,4.55
baruun-urt,46.6806,113.2792,-15.31,85,25,4.22
mehamn,71.0357,27.8492,-4.03,86,100,4.12
puerto ayora,-0.7393,-90.3518,26.42,88,51,2.68
waddan,29.1614,16.139,12.89,25,0,3.13
rikitea,-23.1203,-134.9692,25.81,74,62,4.62
general roca,-39.0333,-67.5833,35.35,18,0,6.63
vaini,-21.2,-175.2,27.06,77,55,2.88
ushuaia,-54.8,-68.3,14.81,47,20,11.83
cidreira,-30.1811,-50.2056,27.97,69,38,5.2
severo-kurilsk,50.6789,156.125,-3.79,74,100,6.15
hamilton,39.1834,-84.5333,9.19,56,0,5.66
pacific grove,36.6177,-121.9166,9.06,89,0,3.58
yulara,-25.2406,130.9889,23.95,76,100,1.45
georgetown,5.4112,100.3354,26.96,69,20,4.63
kapaa,22.0752,-159.319,18.68,78,76,0.45
arraial do cabo,-22.9661,-42.0278,30.92,70,0,7.72
ilulissat,69.2167,-51.1,-8.99,79,75,7.2
marzuq,14.4,46.4667,17.84,62,87,2.48
nhulunbuy,-12.2333,136.7667,25.34,94,40,1.54
balkanabat,39.5108,54.3671,3.72,45,0,2.88
thompson,55.7435,-97.8558,-25.12,90,90,4.27
busselton,-33.65,115.3333,14.32,72,29,6.27
rio gallegos,-51.6226,-69.2181,23.17,27,20,7.3
cedar city,37.6775,-113.0619,-2.46,74,0,0.0
logan lake,50.4998,-120.8025,-7.1,91,91,3.73
yarkovo,57.4028,67.0786,-8.25,94,88,2.46
leh,34.1667,77.5833,-10.1,79,99,1.11
ponta do sol,32.6667,-17.1,16.44,65,81,3.0
jamestown,42.097,-79.2353,1.73,60,20,8.23
tuktoyaktuk,69.4541,-133.0374,-26.52,98,25,4.98
pevek,69.7008,170.3133,-19.42,93,100,1.37
cabo san lucas,22.8909,-109.9124,22.03,63,20,1.54
puerto del rosario,28.5004,-13.8627,17.86,59,75,9.77
saskylakh,71.9167,114.0833,-41.34,100,98,1.36
chuy,-33.6971,-53.4616,26.12,67,98,2.22
ribeira grande,38.5167,-28.7,16.22,67,40,5.66
wakkanai,45.4094,141.6739,-6.41,79,99,13.15
fortuna,40.5982,-124.1573,7.39,91,100,3.09
bahia honda,22.9036,-83.1592,27.42,63,56,5.38
mandalgovi,45.7625,106.2708,-11.94,71,0,3.21
lorengau,-2.0226,147.2712,26.91,81,47,2.56
tromso,69.6496,18.957,-0.35,86,75,8.75
poum,-20.2333,164.0167,26.53,79,100,3.25
san patricio,28.017,-97.5169,18.57,86,99,4.27
smolenka,52.1352,113.4974,-10.96,62,8,7.0
shaunavon,49.6501,-108.4181,-19.52,90,94,7.52
lensk,60.7253,114.9278,-25.17,100,100,1.11
husavik,66.0449,-17.3389,3.19,87,100,4.72
saldanha,-33.0117,17.9442,17.82,71,50,15.11
east london,-33.0153,27.9116,22.42,82,71,9.12
kochi,9.9399,76.2602,25.99,77,1,1.96
kabinda,-6.1333,24.4833,21.03,90,67,1.97
la rioja,42.25,-2.5,0.88,96,100,5.08
provideniya,64.3833,-173.3,-9.36,96,100,1.16
turochak,52.2576,87.1224,-19.1,100,80,1.26
asau,46.4333,26.4,-1.49,87,100,2.67
linxia,35.6003,103.2064,-7.62,67,0,0.56
qasigiannguit,68.8193,-51.1922,-8.86,88,100,5.82
abu samrah,35.3029,37.1841,12.78,69,68,3.53
dubbo,-32.25,148.6167,22.07,64,100,2.06
taoudenni,22.6783,-3.9836,20.65,17,39,1.49
great yarmouth,52.6083,1.7305,5.15,87,69,2.7
zeya,53.75,127.2667,-36.48,100,73,1.29
leningradskiy,69.3833,178.4167,-16.95,95,100,5.29
arlit,18.7369,7.3853,24.92,9,57,4.25
qaanaaq,77.484,-69.3632,-19.58,59,6,4.2
beringovskiy,63.05,179.3167,-9.53,97,93,3.15
liku,-0.7275,119.8922,24.36,89,100,0.64
barrow,71.2906,-156.7887,-22.99,77,75,6.69
lata,40.1629,-8.3327,12.12,56,0,3.32
port elizabeth,-33.918,25.5701,17.78,97,100,6.17
pochutla,15.7432,-96.4661,31.57,38,0,2.66
merrill,45.1805,-89.6835,-12.89,75,100,0.45
dikson,73.5069,80.5464,-24.41,97,100,3.77
palmer,42.1584,-72.3287,7.62,47,22,3.13
bluff,-46.6,168.3333,14.3,80,31,2.47
laguna,38.421,-121.4238,6.12,90,0,0.0
cape town,-33.9258,18.4232,19.03,56,40,12.35
narsaq,60.9167,-46.05,-3.88,69,100,10.22
fairview,40.8126,-73.999,9.29,46,0,6.69
mar del plata,-38.0023,-57.5575,22.8,81,63,2.68
aksu,41.1231,80.2644,-11.86,90,79,1.94
gigmoto,13.7796,124.39,24.07,91,100,10.46
kodiak,57.79,-152.4072,-0.27,100,100,2.57
lagoa,39.05,-27.9833,14.03,78,70,5.92
sola,-13.8833,167.55,27.6,74,63,3.45
ostrovskoye,57.8057,42.2433,-19.72,100,68,1.71
